Category,year,month,N
QUALITY OF LIFE CRIMES,2014,4,10601
QUALITY OF LIFE CRIMES,2014,5,10426
QUALITY OF LIFE CRIMES,2014,6,10061
QUALITY OF LIFE CRIMES,2014,7,10742
QUALITY OF LIFE CRIMES,2014,8,11547
QUALITY OF LIFE CRIMES,2014,9,10629
QUALITY OF LIFE CRIMES,2014,10,11258
QUALITY OF LIFE CRIMES,2014,11,10333
QUALITY OF LIFE CRIMES,2014,12,10274
QUALITY OF LIFE CRIMES,2015,1,11557
QUALITY OF LIFE CRIMES,2015,2,10466
QUALITY OF LIFE CRIMES,2015,3,11829
QUALITY OF LIFE CRIMES,2015,4,10971
QUALITY OF LIFE CRIMES,2015,5,11663
QUALITY OF LIFE CRIMES,2015,6,11319
QUALITY OF LIFE CRIMES,2015,7,11460
QUALITY OF LIFE CRIMES,2015,8,11716
QUALITY OF LIFE CRIMES,2015,9,10929
QUALITY OF LIFE CRIMES,2015,10,11153
QUALITY OF LIFE CRIMES,2015,11,10366
QUALITY OF LIFE CRIMES,2015,12,9644
QUALITY OF LIFE CRIMES,2016,1,10984
QUALITY OF LIFE CRIMES,2016,2,10189
QUALITY OF LIFE CRIMES,2016,3,10473
QUALITY OF LIFE CRIMES,2016,4,10413
QUALITY OF LIFE CRIMES,2016,5,10845
QUALITY OF LIFE CRIMES,2016,6,10263
QUALITY OF LIFE CRIMES,2016,7,10277
QUALITY OF LIFE CRIMES,2016,8,10503
QUALITY OF LIFE CRIMES,2016,9,10493
QUALITY OF LIFE CRIMES,2016,10,11405
QUALITY OF LIFE CRIMES,2016,11,10716
QUALITY OF LIFE CRIMES,2016,12,10957
QUALITY OF LIFE CRIMES,2017,1,10952
QUALITY OF LIFE CRIMES,2017,2,10296
QUALITY OF LIFE CRIMES,2017,3,11523
QUALITY OF LIFE CRIMES,2017,4,10803
QUALITY OF LIFE CRIMES,2017,5,11207
QUALITY OF LIFE CRIMES,2017,6,10518
QUALITY OF LIFE CRIMES,2017,7,11079
QUALITY OF LIFE CRIMES,2017,8,10587
QUALITY OF LIFE CRIMES,2017,9,10033
QUALITY OF LIFE CRIMES,2017,10,6808
VIOLENT CRIMES,2003,1,1465
VIOLENT CRIMES,2003,2,1313
VIOLENT CRIMES,2003,3,1565
VIOLENT CRIMES,2003,4,1327
VIOLENT CRIMES,2003,5,1385
VIOLENT CRIMES,2003,6,1344
VIOLENT CRIMES,2003,7,1389
VIOLENT CRIMES,2003,8,1452
VIOLENT CRIMES,2003,9,1542
VIOLENT CRIMES,2003,10,1546
VIOLENT CRIMES,2003,11,1363
VIOLENT CRIMES,2003,12,1293
VIOLENT CRIMES,2004,1,1387
VIOLENT CRIMES,2004,2,1368
VIOLENT CRIMES,2004,3,1568
VIOLENT CRIMES,2004,4,1453
VIOLENT CRIMES,2004,5,1466
VIOLENT CRIMES,2004,6,1290
VIOLENT CRIMES,2004,7,1381
VIOLENT CRIMES,2004,8,1342
VIOLENT CRIMES,2004,9,1332
VIOLENT CRIMES,2004,10,1445
VIOLENT CRIMES,2004,11,1280
VIOLENT CRIMES,2004,12,1244
VIOLENT CRIMES,2005,1,1302
VIOLENT CRIMES,2005,2,1141
VIOLENT CRIMES,2005,3,1225
VIOLENT CRIMES,2005,4,1266
VIOLENT CRIMES,2005,5,1365
VIOLENT CRIMES,2005,6,1245
VIOLENT CRIMES,2005,7,1325
VIOLENT CRIMES,2005,8,1264
VIOLENT CRIMES,2005,9,1393
VIOLENT CRIMES,2005,10,1445
VIOLENT CRIMES,2005,11,1281
VIOLENT CRIMES,2005,12,1191
VIOLENT CRIMES,2006,1,1370
VIOLENT CRIMES,2006,2,1308
VIOLENT CRIMES,2006,3,1460
VIOLENT CRIMES,2006,4,1461
VIOLENT CRIMES,2006,5,1495
VIOLENT CRIMES,2006,6,1552
VIOLENT CRIMES,2006,7,1516
VIOLENT CRIMES,2006,8,1502
VIOLENT CRIMES,2006,9,1461
VIOLENT CRIMES,2006,10,1392
VIOLENT CRIMES,2006,11,1214
VIOLENT CRIMES,2006,12,1167
VIOLENT CRIMES,2007,1,1341
VIOLENT CRIMES,2007,2,1250
VIOLENT CRIMES,2007,3,1389
VIOLENT CRIMES,2007,4,1409
VIOLENT CRIMES,2007,5,1352
VIOLENT CRIMES,2007,6,1397
VIOLENT CRIMES,2007,7,1479
VIOLENT CRIMES,2007,8,1425
VIOLENT CRIMES,2007,9,1502
VIOLENT CRIMES,2007,10,1466
VIOLENT CRIMES,2007,11,1398
VIOLENT CRIMES,2007,12,1482
VIOLENT CRIMES,2008,1,1436
VIOLENT CRIMES,2008,2,1300
VIOLENT CRIMES,2008,3,1510
VIOLENT CRIMES,2008,4,1409
VIOLENT CRIMES,2008,5,1549
VIOLENT CRIMES,2008,6,1367
VIOLENT CRIMES,2008,7,1463
VIOLENT CRIMES,2008,8,1482
VIOLENT CRIMES,2008,9,1535
VIOLENT CRIMES,2008,10,1486
VIOLENT CRIMES,2008,11,1411
VIOLENT CRIMES,2008,12,1307
VIOLENT CRIMES,2009,1,1400
VIOLENT CRIMES,2009,2,1205
VIOLENT CRIMES,2009,3,1395
VIOLENT CRIMES,2009,4,1463
VIOLENT CRIMES,2009,5,1405
VIOLENT CRIMES,2009,6,1342
VIOLENT CRIMES,2009,7,1254
VIOLENT CRIMES,2009,8,1435
VIOLENT CRIMES,2009,9,1398
VIOLENT CRIMES,2009,10,1467
VIOLENT CRIMES,2009,11,1373
VIOLENT CRIMES,2009,12,1203
VIOLENT CRIMES,2010,1,1332
VIOLENT CRIMES,2010,2,1263
VIOLENT CRIMES,2010,3,1297
VIOLENT CRIMES,2010,4,1275
VIOLENT CRIMES,2010,5,1375
VIOLENT CRIMES,2010,6,1329
VIOLENT CRIMES,2010,7,1340
VIOLENT CRIMES,2010,8,1323
VIOLENT CRIMES,2010,9,1394
VIOLENT CRIMES,2010,10,1520
VIOLENT CRIMES,2010,11,1320
VIOLENT CRIMES,2010,12,1298
VIOLENT CRIMES,2011,1,1392
VIOLENT CRIMES,2011,2,1143
VIOLENT CRIMES,2011,3,1319
VIOLENT CRIMES,2011,4,1345
VIOLENT CRIMES,2011,5,1384
VIOLENT CRIMES,2011,6,1274
VIOLENT CRIMES,2011,7,1332
VIOLENT CRIMES,2011,8,1380
VIOLENT CRIMES,2011,9,1384
VIOLENT CRIMES,2011,10,1465
VIOLENT CRIMES,2011,11,1303
VIOLENT CRIMES,2011,12,1355
VIOLENT CRIMES,2012,1,1409
VIOLENT CRIMES,2012,2,1290
VIOLENT CRIMES,2012,3,1361
VIOLENT CRIMES,2012,4,1297
VIOLENT CRIMES,2012,5,1354
VIOLENT CRIMES,2012,6,1330
VIOLENT CRIMES,2012,7,1274
VIOLENT CRIMES,2012,8,1464
VIOLENT CRIMES,2012,9,1337
VIOLENT CRIMES,2012,10,1533
VIOLENT CRIMES,2012,11,1422
VIOLENT CRIMES,2012,12,1347
VIOLENT CRIMES,2013,1,1416
VIOLENT CRIMES,2013,2,1330
VIOLENT CRIMES,2013,3,1485
VIOLENT CRIMES,2013,4,1382
VIOLENT CRIMES,2013,5,1562
VIOLENT CRIMES,2013,6,1580
VIOLENT CRIMES,2013,7,1371
VIOLENT CRIMES,2013,8,1554
VIOLENT CRIMES,2013,9,1533
VIOLENT CRIMES,2013,10,1519
VIOLENT CRIMES,2013,11,1310
VIOLENT CRIMES,2013,12,1262
VIOLENT CRIMES,2014,1,1351
VIOLENT CRIMES,2014,2,1203
VIOLENT CRIMES,2014,3,1328
VIOLENT CRIMES,2014,4,1249
VIOLENT CRIMES,2014,5,1388
VIOLENT CRIMES,2014,6,1373
VIOLENT CRIMES,2014,7,1480
VIOLENT CRIMES,2014,8,1389
VIOLENT CRIMES,2014,9,1441
VIOLENT CRIMES,2014,10,1546
VIOLENT CRIMES,2014,11,1297
VIOLENT CRIMES,2014,12,1300
VIOLENT CRIMES,2015,1,1513
VIOLENT CRIMES,2015,2,1351
VIOLENT CRIMES,2015,3,1566
VIOLENT CRIMES,2015,4,1468
VIOLENT CRIMES,2015,5,1468
VIOLENT CRIMES,2015,6,1456
VIOLENT CRIMES,2015,7,1392
VIOLENT CRIMES,2015,8,1508
VIOLENT CRIMES,2015,9,1484
VIOLENT CRIMES,2015,10,1512
VIOLENT CRIMES,2015,11,1243
VIOLENT CRIMES,2015,12,1254
VIOLENT CRIMES,2016,1,1426
VIOLENT CRIMES,2016,2,1380
VIOLENT CRIMES,2016,3,1326
VIOLENT CRIMES,2016,4,1432
VIOLENT CRIMES,2016,5,1433
VIOLENT CRIMES,2016,6,1400
VIOLENT CRIMES,2016,7,1379
VIOLENT CRIMES,2016,8,1459
VIOLENT CRIMES,2016,9,1466
VIOLENT CRIMES,2016,10,1488
VIOLENT CRIMES,2016,11,1508
VIOLENT CRIMES,2016,12,1458
VIOLENT CRIMES,2017,1,1398
VIOLENT CRIMES,2017,2,1290
VIOLENT CRIMES,2017,3,1484
VIOLENT CRIMES,2017,4,1448
VIOLENT CRIMES,2017,5,1394
VIOLENT CRIMES,2017,6,1404
VIOLENT CRIMES,2017,7,1433
VIOLENT CRIMES,2017,8,1584
VIOLENT CRIMES,2017,9,1475
VIOLENT CRIMES,2017,10,987
